team num, marble, 0, 1, 0, 0
team num, marble, 0, 1, 0, 0
team num, marble, 0, 1, 0, 0
team num, marble, 0, 1, 0, 0
07, marble, 1, 0, 0, 0
07, glass, 1, 0, 0, 0
07, glass, 0, 1, 0, 0
07, glass, 1, 0, 0, 0
07, glass, 1, 0, 0, 0
07, glass, 1, 0, 0, 0
07, glass, 1, 0, 0, 0
07, glass, 1, 0, 0, 0
07, glass, 1, 0, 0, 0
07, glass, 0, 1, 0, 0
07, glass, 1, 0, 0, 0
07, glass, 1, 0, 0, 0
07, glass, 1, 0, 0, 0
07, glass, 1, 0, 0, 0
07, glass, 1, 0, 0, 0
07, glass, 1, 0, 0, 0
07, glass, 1, 0, 0, 0
07, glass, 1, 0, 0, 0
07, glass, 0, 1, 0, 0
07, glass, 1, 0, 0, 0
